object/property,"label (0 = false, 1 = true)"
chair/expensive,1
truck/man_made,1
airplane/used_for_holding_things,1
chair/electrical,0
chair/decorative,1
bottle/cold,0
dining_table/used_for_transportation,0
bottle/used_for_music,1
dining_table/dangerous,0
truck/worn_for_warmth,0
dining_table/a_toy,0
bottle/wet,1
dining_table/used_for_cleaning,0
bottle/smooth,1
bottle/used_for_cleaning,0
keyboard/pairs,0
bottle/a_toy,0
hot_dog/sharp,0
sheep/lives_in_water,0
sheep/light_weight,0
tennis_racket/has_shelves,0
chair/hand_held,0
broccoli/dangerous,0
sheep/decorative,0
chair/eaten_in_summer,0
bowl/fragile,1
truck/used_for_holding_things,1
bottle/slimy,0
keyboard/requires_gasoline,0
chair/dangerous,0
chair/used_by_children,1
bottle/fragile,1
chair/has_shelves,0
sheep/fast,0
broccoli/words_on_it,0
bottle/shiny,1
chair/flies,0
chair/slimy,0
airplane/edible,0
chair/found_on_walls,0
elephant/used_for_eating,0
truck/large,1
horse/used_for_eating,0
bottle/slimy,0
bowl/swims,0
bottle/cold,0
dining_table/cold,0
airplane/shiny,0
zebra/wet,0
skateboard/worn_for_warmth,0
bowl/sharp,
bottle/an_animal,
chair/used_for_killing,
keyboard/worn_on_feet,
chair/expensive,
bowl/used_for_cooking,
sheep/large,
tennis_racket/squishy,
tennis_racket/decorative,
broccoli/a_toy,
dining_table/sharp,
sheep/found_on_walls,
chair/edible,
elephant/smelly,
dining_table/words_on_it,
airplane/has_peel,
skateboard/lives_in_water,
keyboard/requires_gasoline,
chair/loud,
bottle/used_for_cleaning,
keyboard/used_for_cooking,
bottle/used_for_cleaning,
broccoli/large,
bottle/has_peel,
keyboard/a_tool,
elephant/flies,
chair/words_on_it,
sheep/loud,
sheep/smelly,
broccoli/swims,
skateboard/shiny,
dining_table/words_on_it,
chair/used_by_children,
broccoli/used_for_cleaning,
truck/unhealthy,
dining_table/smooth,
dining_table/electrical,
chair/used_for_cleaning,
tennis_racket/produces_noise,
elephant/used_for_eating,
sheep/a_toy,
bowl/shiny,
broccoli/used_for_holding_things,
chair/words_on_it,
truck/tall,
elephant/loud,
skateboard/loud,
skateboard/used_for_eating,
chair/cold,
broccoli/man_made,