uid	original	mturk	word-embedding	pc	ctx
accordion	accordion	accordion	accordion	accordion	accordion
airplane	airplane	airplane	airplane	airplane	airplane
alligator	alligator	alligator	alligator	alligator	alligator
ambulance	ambulance	ambulance	ambulance	ambulance	ambulance
anchor	anchor	anchor	anchor	anchor	anchor
ant	ant	ant	ant	ant	ant
apartment	apartment	apartment	apartment	apartment	apartment
apple	apple	apple	apple	apple	apple
apron	apron	apron	apron	apron	apron
armour	armour	suit of armor	armor	armor	armour
ashtray	ashtray	ashtray	ashtray	ashtray	ashtray
asparagus	asparagus	asparagus	asparagus	asparagus	asparagus
avocado	avocado	avocado	avocado	avocado	avocado
axe	axe	axe	axe	axe	axe
backpack	backpack	backpack	backpack	backpack	backpack
bag	bag	bag	bag	bag	bag
bagpipe	bagpipe	bagpipe	bagpipe	bagpipe	bagpipe
ball	ball	ball	ball	ball	ball
balloon	balloon	balloon	balloon	balloon	balloon
banana	banana	banana	banana	banana	banana
banjo	banjo	banjo	banjo	banjo	banjo
banner	banner	banner	banner	banner	banner
barn	barn	barn	barn	barn	barn
barrel	barrel	barrel	barrel	barrel	barrel
baseball_bat	baseball bat	baseball bat	bat	bat	bat
baseball_glove	baseball glove	baseball glove	glove	glove	glove
basement	basement	basement	basement	basement	basement
basket	basket	basket	basket	basket	basket
bathtub	bathtub	bathtub	bathtub	bathtub	bathtub
baton	baton	baton	baton	baton	baton
bayonet	bayonet	bayonet	bayonet	bayonet	bayonet
bazooka	bazooka	bazooka	bazooka	bazooka	bazooka
beans	beans	beans	beans	bean	beans
bear	bear	bear	bear	bear	bear
beaver	beaver	beaver	beaver	beaver	beaver
bed	bed	bed	bed	bed	bed
bedroom	bedroom	bedroom	bedroom	bedroom	bedroom
beehive	beehive	beehive	beehive	beehive	beehive
beetle	beetle	beetle	beetle	beetle	beetle
beets	beets	beets	beets	beet	beets
belt	belt	belt	belt	belt	belt
bench	bench	bench	bench	bench	bench
bicycle	bicycle	bicycle	bicycle	bicycle	bicycle
bike	bike	bike	bike	bike	bike
bird	bird	bird	bird	bird	bird
biscuit	biscuit	biscuit	biscuit	biscuit	biscuit
bison	bison	bison	bison	bison	bison
blender	blender	blender	blender	blender	blender
blouse	blouse	blouse	blouse	blouse	blouse
blueberry	blueberry	blueberry	blueberry	blueberry	blueberry
boat	boat	boat	boat	boat	boat
bolts	bolts	bolts	bolts	bolt	bolts
bomb	bomb	bomb	bomb	bomb	bomb
book	book	book	book	book	book
bookcase	bookcase	bookcase	bookcase	bookcase	bookcase
boots	boots	boots	boots	boot	boots
bottle	bottle	bottle	bottle	bottle	bottle
bouquet	bouquet	bouquet	bouquet	bouquet	bouquet
bowl	bowl	bowl	bowl	bowl	bowl
box	box	box	box	box	box
bra	bra	bra	bra	bra	bra
bracelet	bracelet	bracelet	bracelet	bracelet	bracelet
bread	bread	bread	bread	bread	bread
brick	brick	brick	brick	brick	brick
bridge	bridge	bridge	bridge	bridge	bridge
broccoli	broccoli	broccoli	broccoli	broccoli	broccoli
broom	broom	broom	broom	broom	broom
brush	brush	brush	brush	brush	brush
bucket	bucket	bucket	bucket	bucket	bucket
buckle	buckle	buckle	buckle	buckle	buckle
buffalo	buffalo	buffalo	buffalo	buffalo	buffalo
buggy	buggy	baby stroller	buggy	buggy	buggy
building	building	building	building	building	building
bull	bull	bull	bull	bull	bull
bullet	bullet	bullet	bullet	bullet	bullet
bungalow	bungalow	bungalow (a low house)	bungalow	bungalow	bungalow
bureau	bureau	bureau	bureau	bureau	bureau
bus	bus	bus	bus	bus	bus
butterfly	butterfly	butterfly	butterfly	butterfly	butterfly
cabbage	cabbage	cabbage	cabbage	cabbage	cabbage
cabin	cabin	cabin	cabin	cabin	cabin
cabinet	cabinet	cabinet	cabinet	cabinet	cabinet
cage	cage	cage	cage	cage	cage
cake	cake	cake	cake	cake	cake
calf	calf	calf (a young cow)	calf	calf	calf
camel	camel	camel	camel	camel	camel
camisole	camisole	camisole (women's tank top)	camisole	camisole	camisole
candle	candle	candle	candle	candle	candle
cannon	cannon	cannon	cannon	cannon	cannon
canoe	canoe	canoe	canoe	canoe	canoe
cantaloupe	cantaloupe	cantaloupe	cantaloupe	cantaloupe	cantaloupe
cape	cape	cape	cape	cape	cape
car	car	car	car	car	car
caribou	caribou	caribou	caribou	caribou	caribou
carpet	carpet	carpet	carpet	carpet	carpet
carrot	carrot	carrot	carrot	carrot	carrot
cart	cart	cart	cart	cart	cart
cat	cat	cat	cat	cat	cat
catapult	catapult	catapult	catapult	catapult	catapult
caterpillar	caterpillar	caterpillar	caterpillar	caterpillar	caterpillar
cathedral	cathedral	cathedral	cathedral	cathedral	cathedral
cauliflower	cauliflower	cauliflower	cauliflower	cauliflower	cauliflower
celery	celery	celery	celery	celery	celery
cell_phone	cell phone	cell phone	phone	phone	phone
cellar	cellar	cellar	cellar	cellar	cellar
cello	cello	cello	cello	cello	cello
certificate	certificate	certificate	certificate	certificate	certificate
chain	chain	chain	chain	chain	chain
chair	chair	chair	chair	chair	chair
chandelier	chandelier	chandelier	chandelier	chandelier	chandelier
chapel	chapel	chapel	chapel	chapel	chapel
cheese	cheese	cheese	cheese	cheese	cheese
cheetah	cheetah	cheetah	cheetah	cheetah	cheetah
cherry	cherry	cherry	cherry	cherry	cherry
chicken	chicken	chicken	chicken	chicken	chicken
chimp	chimp	chimp	chimp	chimp	chimp
chipmunk	chipmunk	chipmunk	chipmunk	chipmunk	chipmunk
chisel	chisel	chisel	chisel	chisel	chisel
church	church	church	church	church	church
cigar	cigar	cigar	cigar	cigar	cigar
cigarette	cigarette	cigarette	cigarette	cigarette	cigarette
clam	clam	clam	clam	clam	clam
clamp	clamp	clamp	clamp	clamp	clamp
clarinet	clarinet	clarinet	clarinet	clarinet	clarinet
cloak	cloak	cloak	cloak	cloak	cloak
clock	clock	clock	clock	clock	clock
closet	closet	closet	closet	closet	closet
coat	coat	coat	coat	coat	coat
cockroach	cockroach	cockroach	cockroach	cockroach	cockroach
coconut	coconut	coconut	coconut	coconut	coconut
coin	coin	coin	coin	coin	coin
colander	colander	colander	colander	colander	colander
comb	comb	comb	comb	comb	comb
cork	cork	cork	cork	cork	cork
corkscrew	corkscrew	corkscrew	corkscrew	corkscrew	corkscrew
corn	corn	corn	corn	corn	corn
cottage	cottage	cottage	cottage	cottage	cottage
couch	couch	couch	couch	couch	couch
cougar	cougar	cougar	cougar	cougar	cougar
cow	cow	cow	cow	cow	cow
coyote	coyote	coyote	coyote	coyote	coyote
crab	crab	crab	crab	crab	crab
cranberry	cranberry	cranberry	cranberry	cranberry	cranberry
crayon	crayon	crayon	crayon	crayon	crayon
crocodile	crocodile	crocodile	crocodile	crocodile	crocodile
crossbow	crossbow	crossbow	crossbow	crossbow	crossbow
crow	crow	crow	crow	crow	crow
crowbar	crowbar	crowbar	crowbar	crowbar	crowbar
crown	crown	crown	crown	crown	crown
cucumber	cucumber	cucumber	cucumber	cucumber	cucumber
cup	cup	cup	cup	cup	cup
cupboard	cupboard	cupboard	cupboard	cupboard	cupboard
curtains	curtains	curtains	curtains	curtain	curtains
cushion	cushion	cushion	cushion	cushion	cushion
dagger	dagger	dagger	dagger	dagger	dagger
dandelion	dandelion	dandelion	dandelion	dandelion	dandelion
deer	deer	deer	deer	deer	deer
desk	desk	desk	desk	desk	desk
dining_table	dining table	dining table	table	table	table
dish	dish	dish	dish	dish	dish
dishwasher	dishwasher	dishwasher	dishwasher	dishwasher	dishwasher
dog	dog	dog	dog	dog	dog
doll	doll	doll	doll	doll	doll
dolphin	dolphin	dolphin	dolphin	dolphin	dolphin
donkey	donkey	donkey	donkey	donkey	donkey
donut	donut	donut	donut	donut	donut
door	door	door	door	door	door
doorknob	doorknob	doorknob	doorknob	doorknob	doorknob
dove	dove	dove	dove	dove	dove
drain	drain	drain	drain	drain	drain
drapes	drapes	drapes	drapes	drape	drapes
dress	dress	dress	dress	dress	dress
dresser	dresser	dresser	dresser	dresser	dresser
drill	drill	drill	drill	drill	drill
drum	drum	drum	drum	drum	drum
duck	duck	duck	duck	duck	duck
eagle	eagle	eagle	eagle	eagle	eagle
earmuffs	earmuffs	earmuffs	earmuffs	earmuff	earmuffs
eel	eel	eel	eel	eel	eel
eggplant	eggplant	eggplant	eggplant	eggplant	eggplant
elephant	elephant	elephant	elephant	elephant	elephant
elevator	elevator	elevator	elevator	elevator	elevator
elk	elk	elk	elk	elk	elk
emerald	emerald	emerald	emerald	emerald	emerald
envelope	envelope	envelope	envelope	envelope	envelope
escalator	escalator	escalator	escalator	escalator	escalator
falcon	falcon	falcon	falcon	falcon	falcon
faucet	faucet	faucet	faucet	faucet	faucet
fawn	fawn	fawn (a young deer)	fawn	fawn	fawn
fence	fence	fence	fence	fence	fence
fire_hydrant	fire hydrant	fire hydrant	hydrant	hydrant	hydrant
flamingo	flamingo	flamingo	flamingo	flamingo	flamingo
flea	flea	flea	flea	flea	flea
flute	flute	flute	flute	flute	flute
football	football	football	football	football	football
fork	fork	fork	fork	fork	fork
fox	fox	fox	fox	fox	fox
freezer	freezer	freezer	freezer	freezer	freezer
fridge	fridge	fridge	fridge	fridge	fridge
frisbee	frisbee	frisbee	frisbee	frisbee	frisbee
frog	frog	frog	frog	frog	frog
garage	garage	garage	garage	garage	garage
garlic	garlic	garlic	garlic	garlic	garlic
gate	gate	gate	gate	gate	gate
giraffe	giraffe	giraffe	giraffe	giraffe	giraffe
gloves	gloves	gloves	gloves	glove	gloves
goat	goat	goat	goat	goat	goat
goldfish	goldfish	goldfish	goldfish	goldfish	goldfish
goose	goose	goose	goose	goose	goose
gopher	gopher	gopher	gopher	gopher	gopher
gorilla	gorilla	gorilla	gorilla	gorilla	gorilla
gown	gown	gown	gown	gown	gown
grape	grape	grape	grape	grape	grape
grapefruit	grapefruit	grapefruit	grapefruit	grapefruit	grapefruit
grasshopper	grasshopper	grasshopper	grasshopper	grasshopper	grasshopper
grater	grater	grater	grater	grater	grater
grenade	grenade	grenade	grenade	grenade	grenade
groundhog	groundhog	groundhog	groundhog	groundhog	groundhog
guitar	guitar	guitar	guitar	guitar	guitar
gun	gun	gun	gun	gun	gun
hair_drier	hair drier	hair drier	hairdrier	hairdrier	drier
hammer	hammer	hammer	hammer	hammer	hammer
hamster	hamster	hamster	hamster	hamster	hamster
handbag	handbag	handbag	handbag	handbag	handbag
hare	hare	hare	hare	hare	hare
harmonica	harmonica	harmonica	harmonica	harmonica	harmonica
harp	harp	harp	harp	harp	harp
harpoon	harpoon	harpoon	harpoon	harpoon	harpoon
harpsichord	harpsichord	harpsichord	harpsichord	harpsichord	harpsichord
hatchet	hatchet	hatchet	hatchet	hatchet	hatchet
hawk	hawk	hawk	hawk	hawk	hawk
helicopter	helicopter	helicopter	helicopter	helicopter	helicopter
helmet	helmet	helmet	helmet	helmet	helmet
hoe	hoe	hoe	hoe	hoe	hoe
honeydew	honeydew	honeydew (melon)	honeydew	honeydew	honeydew
hook	hook	hook	hook	hook	hook
hornet	hornet	hornet	hornet	hornet	hornet
horse	horse	horse	horse	horse	horse
hose	hose	hose	hose	hose	hose
hot_dog	hot dog	hot dog	hotdog	hotdog	dog
house	house	house	house	house	house
housefly	housefly	housefly	fly	fly	housefly
hut	hut	hut	hut	hut	hut
hyena	hyena	hyena	hyena	hyena	hyena
iguana	iguana	iguana	iguana	iguana	iguana
inn	inn	inn	inn	inn	inn
jacket	jacket	jacket	jacket	jacket	jacket
jar	jar	jar	jar	jar	jar
jeans	jeans	jeans	jeans	jeans	jeans
jeep	jeep	jeep	jeep	jeep	jeep
jet	jet	jet (plane)	jet	jet	jet
kettle	kettle	kettle	kettle	kettle	kettle
key	key	key	key	key	key
keyboard	keyboard	keyboard	keyboard	keyboard	keyboard
kite	kite	kite	kite	kite	kite
knife	knife	knife	knife	knife	knife
ladle	ladle	ladle	ladle	ladle	ladle
lamb	lamb	lamb	lamb	lamb	lamb
lamp	lamp	lamp	lamp	lamp	lamp
lantern	lantern	lantern	lantern	lantern	lantern
laptop	laptop	laptop	laptop	laptop	laptop
lemon	lemon	lemon	lemon	lemon	lemon
leopard	leopard	leopard	leopard	leopard	leopard
leotards	leotards	leotards	leotards	leotard	leotards
lettuce	lettuce	lettuce	lettuce	lettuce	lettuce
level	level	level (tool)	level	level	level
lime	lime	lime	lime	lime	lime
limousine	limousine	limousine	limousine	limousine	limousine
lion	lion	lion	lion	lion	lion
lobster	lobster	lobster	lobster	lobster	lobster
machete	machete	machete	machete	machete	machete
magazine	magazine	magazine	magazine	magazine	magazine
mandarin	mandarin	mandarin (orange)	mandarin	mandarin	mandarin
marble	marble	marble	marble	marble	marble
mat	mat	mat	mat	mat	mat
medal	medal	medal	medal	medal	medal
menu	menu	menu	menu	menu	menu
microscope	microscope	microscope	microscope	microscope	microscope
microwave	microwave	microwave	microwave	microwave	microwave
mirror	mirror	mirror	mirror	mirror	mirror
missile	missile	missile	missile	missile	missile
mittens	mittens	mittens	mittens	mitten	mittens
mixer	mixer	mixer (kitchen appliance)	mixer	mixer	mixer
moose	moose	moose	moose	moose	moose
moth	moth	moth	moth	moth	moth
motorcycle	motorcycle	motorcycle	motorcycle	motorcycle	motorcycle
mouse	mouse	mouse	mouse	mouse	mouse
mug	mug	mug	mug	mug	mug
mushroom	mushroom	mushroom	mushroom	mushroom	mushroom
muzzle	muzzle	muzzle	muzzle	muzzle	muzzle
napkin	napkin	napkin	napkin	napkin	napkin
necklace	necklace	necklace	necklace	necklace	necklace
nectarine	nectarine	nectarine	nectarine	nectarine	nectarine
nightgown	nightgown	nightgown	nightgown	nightgown	nightgown
nylons	nylons	nylons	nylons	nylon	nylons
octopus	octopus	octopus	octopus	octopus	octopus
olive	olive	olive	olive	olive	olive
onions	onions	onions	onions	onion	onions
orange	orange	orange	orange	orange	orange
ostrich	ostrich	ostrich	ostrich	ostrich	ostrich
otter	otter	otter	otter	otter	otter
oven	oven	oven	oven	oven	oven
owl	owl	owl	owl	owl	owl
ox	ox	ox	ox	ox	ox
paintbrush	paintbrush	paintbrush	paintbrush	paintbrush	paintbrush
pajamas	pajamas	pajamas	pajamas	pajama	pajamas
pan	pan	pan	pan	pan	pan
panther	panther	panther	panther	panther	panther
pants	pants	pants	pants	pant	pants
parka	parka	parka	parka	parka	parka
parking_meter	parking meter	parking meter	meter	meter	meter
parsley	parsley	parsley	parsley	parsley	parsley
peach	peach	peach	peach	peach	peach
peacock	peacock	peacock	peacock	peacock	peacock
pear	pear	pear	pear	pear	pear
pearl	pearl	pearl	pearl	pearl	pearl
peas	peas	peas	peas	pea	peas
peg	peg	peg	peg	peg	peg
pen	pen	pen	pen	pen	pen
pencil	pencil	pencil	pencil	pencil	pencil
penguin	penguin	penguin	penguin	penguin	penguin
pepper	pepper	pepper	pepper	pepper	pepper
person	person	person	person	person	person
piano	piano	piano	piano	piano	piano
pickle	pickle	pickle	pickle	pickle	pickle
pie	pie	pie	pie	pie	pie
pier	pier	pier	pier	pier	pier
pig	pig	pig	pig	pig	pig
pigeon	pigeon	pigeon	pigeon	pigeon	pigeon
pillow	pillow	pillow	pillow	pillow	pillow
pin	pin	pin	pin	pin	pin
pineapple	pineapple	pineapple	pineapple	pineapple	pineapple
pistol	pistol	pistol	pistol	pistol	pistol
pizza	pizza	pizza	pizza	pizza	pizza
plate	plate	plate	plate	plate	plate
platypus	platypus	platypus	platypus	platypus	platypus
pliers	pliers	pliers	pliers	plier	pliers
plum	plum	plum	plum	plum	plum
pony	pony	pony	pony	pony	pony
porcupine	porcupine	porcupine	porcupine	porcupine	porcupine
pot	pot	pot	pot	pot	pot
potato	potato	potato	potato	potato	potato
potted_plant	potted plant	potted plant	plant	plant	plant
projector	projector	projector	projector	projector	projector
prune	prune	prune	prune	prune	prune
pumpkin	pumpkin	pumpkin	pumpkin	pumpkin	pumpkin
pyramid	pyramid	pyramid (of Egypt)	pyramid	pyramid	pyramid
python	python	python (snake)	python	python	python
rabbit	rabbit	rabbit	rabbit	rabbit	rabbit
raccoon	raccoon	raccoon	raccoon	raccoon	raccoon
racquet	racquet	racket	racket	racket	racquet
radio	radio	radio	radio	radio	radio
radish	radish	radish	radish	radish	radish
raft	raft	raft	raft	raft	raft
raisin	raisin	raisin	raisin	raisin	raisin
rake	rake	rake	rake	rake	rake
raspberry	raspberry	raspberry	raspberry	raspberry	raspberry
rat	rat	rat	rat	rat	rat
rattle	rattle	(baby) rattle	rattle	rattle	rattle
rattlesnake	rattlesnake	rattlesnake	rattlesnake	rattlesnake	rattlesnake
razor	razor	razor	razor	razor	razor
refrigerator	refrigerator	refrigerator	refrigerator	refrigerator	refrigerator
remote	remote	remote	remote	remote	remote
revolver	revolver	revolver	revolver	revolver	revolver
rhubarb	rhubarb	rhubarb	rhubarb	rhubarb	rhubarb
rice	rice	rice	rice	rice	rice
rifle	rifle	rifle	rifle	rifle	rifle
robe	robe	robe	robe	robe	robe
rock	rock	rock	rock	rock	rock
rocker	rocker	rocking chair	rocker	rocker	rocker
rocket	rocket	rocket	rocket	rocket	rocket
rooster	rooster	rooster	rooster	rooster	rooster
rope	rope	rope	rope	rope	rope
ruler	ruler	ruler	ruler	ruler	ruler
sack	sack	sack	sack	sack	sack
saddle	saddle	saddle	saddle	saddle	saddle
sailboat	sailboat	sailboat	sailboat	sailboat	sailboat
salamander	salamander	salamander	salamander	salamander	salamander
salmon	salmon	salmon	salmon	salmon	salmon
sandals	sandals	sandals	sandals	sandal	sandals
sandpaper	sandpaper	sandpaper	sandpaper	sandpaper	sandpaper
sandwich	sandwich	sandwich	sandwich	sandwich	sandwich
sardine	sardine	sardine	sardine	sardine	sardine
saxophone	saxophone	saxophone	saxophone	saxophone	saxophone
scarf	scarf	scarf	scarf	scarf	scarf
scissors	scissors	scissors	scissors	scissor	scissors
scooter	scooter	scooter	scooter	scooter	scooter
screwdriver	screwdriver	screwdriver	screwdriver	screwdriver	screwdriver
screws	screws	screws	screws	screw	screws
seagull	seagull	seagull	seagull	seagull	seagull
seal	seal	seal	seal	seal	seal
seaweed	seaweed	seaweed	seaweed	seaweed	seaweed
shack	shack	shack	shack	shack	shack
shawl	shawl	shawl	shawl	shawl	shawl
shed	shed	shed	shed	shed	shed
sheep	sheep	sheep	sheep	sheep	sheep
shell	shell	shell	shell	shell	shell
shelves	shelves	shelves	shelves	shelf	shelves
shield	shield	shield	shield	shield	shield
ship	ship	ship	ship	ship	ship
shirt	shirt	shirt	shirt	shirt	shirt
shoes	shoes	shoes	shoes	shoe	shoes
shotgun	shotgun	shotgun	shotgun	shotgun	shotgun
shovel	shovel	shovel	shovel	shovel	shovel
shrimp	shrimp	shrimp	shrimp	shrimp	shrimp
sink	sink	sink	sink	sink	sink
skateboard	skateboard	skateboard	skateboard	skateboard	skateboard
skillet	skillet	skillet	skillet	skillet	skillet
skirt	skirt	skirt	skirt	skirt	skirt
skis	skis	skis	skis	ski	skis
skunk	skunk	skunk	skunk	skunk	skunk
skyscraper	skyscraper	skyscraper	skyscraper	skyscraper	skyscraper
sled	sled	sled	sled	sled	sled
sledgehammer	sledgehammer	sledgehammer	sledgehammer	sledgehammer	sledgehammer
sleigh	sleigh	sleigh	sleigh	sleigh	sleigh
slingshot	slingshot	slingshot	slingshot	slingshot	slingshot
slippers	slippers	slippers	slippers	slipper	slippers
snail	snail	snail	snail	snail	snail
snowboard	snowboard	snowboard	snowboard	snowboard	snowboard
socks	socks	socks	socks	sock	socks
sofa	sofa	sofa	sofa	sofa	sofa
spade	spade	spade (digging shovel)	spade	spade	spade
spatula	spatula	spatula	spatula	spatula	spatula
spear	spear	spear	spear	spear	spear
spider	spider	spider	spider	spider	spider
spinach	spinach	spinach	spinach	spinach	spinach
spoon	spoon	spoon	spoon	spoon	spoon
sports_ball	sports ball	sports ball	ball	ball	ball
squid	squid	squid	squid	squid	squid
squirrel	squirrel	squirrel	squirrel	squirrel	squirrel
stereo	stereo	stereo	stereo	stereo	stereo
stick	stick	stick	stick	stick	stick
stone	stone	stone	stone	stone	stone
stop_sign	stop sign	stop sign	sign	sign	sign
stove	stove	stove	stove	stove	stove
strainer	strainer	strainer	strainer	strainer	strainer
strawberry	strawberry	strawberry	strawberry	strawberry	strawberry
submarine	submarine	submarine	submarine	submarine	submarine
subway	subway	subway (underground transit)	subway	subway	subway
suitcase	suitcase	suitcase	suitcase	suitcase	suitcase
surfboard	surfboard	surfboard	surfboard	surfboard	surfboard
swan	swan	swan	swan	swan	swan
sweater	sweater	sweater	sweater	sweater	sweater
swimsuit	swimsuit	swimsuit	swimsuit	swimsuit	swimsuit
sword	sword	sword	sword	sword	sword
table	table	table	table	table	table
tack	tack	tack	tack	tack	tack
tangerine	tangerine	tangerine	tangerine	tangerine	tangerine
taxi	taxi	taxi	taxi	taxi	taxi
teddy_bear	teddy bear	teddy bear	teddybear	teddybear	bear
telephone	telephone	telephone	telephone	telephone	telephone
tennis_racket	tennis racket	tennis racket	racket	racket	racket
tent	tent	tent	tent	tent	tent
thermometer	thermometer	thermometer	thermometer	thermometer	thermometer
thimble	thimble	thimble	thimble	thimble	thimble
tie	tie	tie	tie	tie	tie
tiger	tiger	tiger	tiger	tiger	tiger
toad	toad	toad	toad	toad	toad
toaster	toaster	toaster	toaster	toaster	toaster
toilet	toilet	toilet	toilet	toilet	toilet
tomahawk	tomahawk	tomahawk (single-handed ax)	tomahawk	tomahawk	tomahawk
tomato	tomato	tomato	tomato	tomato	tomato
tongs	tongs	tongs	tongs	tong	tongs
toothbrush	toothbrush	toothbrush	toothbrush	toothbrush	toothbrush
tortoise	tortoise	tortoise	tortoise	tortoise	tortoise
toy	toy	toy	toy	toy	toy
tractor	tractor	tractor	tractor	tractor	tractor
traffic_light	traffic light	traffic light	light	light	light
trailer	trailer	trailer	trailer	trailer	trailer
train	train	train	train	train	train
tray	tray	tray	tray	tray	tray
tree	tree	tree	tree	tree	tree
tricycle	tricycle	tricycle	tricycle	tricycle	tricycle
tripod	tripod	tripod	tripod	tripod	tripod
trolley	trolley	trolley (tram)	trolley	trolley	trolley
trombone	trombone	trombone	trombone	trombone	trombone
trout	trout	trout (fish)	trout	trout	trout
truck	truck	truck	truck	truck	truck
trumpet	trumpet	trumpet	trumpet	trumpet	trumpet
tuba	tuba	tuba	tuba	tuba	tuba
tuna	tuna	tuna	tuna	tuna	tuna
turkey	turkey	turkey	turkey	turkey	turkey
turnip	turnip	turnip	turnip	turnip	turnip
turtle	turtle	turtle	turtle	turtle	turtle
tv	tv	tv	tv	tv	tv
typewriter	typewriter	typewriter	typewriter	typewriter	typewriter
umbrella	umbrella	umbrella	umbrella	umbrella	umbrella
unicycle	unicycle	unicycle	unicycle	unicycle	unicycle
urn	urn	urn	urn	urn	urn
van	van	van	van	van	van
vase	vase	vase	vase	vase	vase
veil	veil	veil	veil	veil	veil
vest	vest	vest	vest	vest	vest
vine	vine	vine	vine	vine	vine
violin	violin	violin	violin	violin	violin
wagon	wagon	wagon	wagon	wagon	wagon
wall	wall	wall	wall	wall	wall
walnut	walnut	walnut	walnut	walnut	walnut
walrus	walrus	walrus	walrus	walrus	walrus
wand	wand	wand	wand	wand	wand
wasp	wasp	wasp	wasp	wasp	wasp
whale	whale	whale	whale	whale	whale
wheel	wheel	wheel	wheel	wheel	wheel
wheelbarrow	wheelbarrow	wheelbarrow	wheelbarrow	wheelbarrow	wheelbarrow
whip	whip	whip	whip	whip	whip
whistle	whistle	whistle	whistle	whistle	whistle
wine_glass	wine glass	wine glass	glass	glass	glass
woodpecker	woodpecker	woodpecker	woodpecker	woodpecker	woodpecker
worm	worm	worm	worm	worm	worm
wrench	wrench	wrench	wrench	wrench	wrench
yacht	yacht	yacht	yacht	yacht	yacht
yam	yam	yam	yam	yam	yam
zebra	zebra	zebra	zebra	zebra	zebra
zucchini	zucchini	zucchini	zucchini	zucchini	zucchini
