affordancesNo,affordancesYes,cocoAnnID,cocoImgID,objectHuman,objectUID
"perspire,sting,wave","ascend,arrest,ask",1470763,447187,baseball glove,baseball_glove
"carry,tune,boat","hit,catch,throw",301594,447187,sports ball,sports_ball
"whisk,farm,brush","call,aim,hit",448505,447187,person,person
"browse,say,flame","walk,attach,balloon",498458,447187,person,person
"land,talk,prune","tackle,applaud,admire",541792,447187,person,person
"exercise,duck,pounce","hit,carry,throw",632724,447187,baseball bat,baseball_bat
"hitchhike,prowl,gather","storm,smash,drink",1873558,450202,wine glass,wine_glass
"poke,tackle,cram","prick,eat,clean",2102152,450202,fork,fork
"instal,pray,kick","sit,eat,clean",392713,450202,dining table,dining_table
"lean,pour,smile","talk,applaud,wave",425365,450202,person,person
"cheerlead,ford,spread","turn,stand,tug",464082,450202,person,person
"storm,punt,dock","drink,sit,smell",661799,450202,wine glass,wine_glass
"lace,strike,distract","break,drink,wash",663443,450202,wine glass,wine_glass
"baptize,turn,crush","board,walk,sit",165647,452321,bus,bus
"unlock,wad,haul","wait,drive,walk",166153,452321,bus,bus
"lift,paste,break","board,walk,check",1794029,452321,bus,bus
"package,instruct,paste","drive,climb,check",248552,452321,bus,bus
"fall,bet,sell","bake,adjust,clean",1128623,453302,toaster,toaster
"trip,dock,flap","empty,wash,clean",1133458,453302,sink,sink
"pitch,fetch,imitate","walk,sit,push",1590221,453302,chair,chair
"unload,immerse,mourn","turn,cook,clean",1978587,453302,microwave,microwave
"decompose,dance,congregate","turn,cook,open",1979154,453302,microwave,microwave
"grin,gamble,poop","wipe,open,clean",332751,453302,refrigerator,refrigerator
"sprint,autograph,poop","drink,adjust,rinse",80342,453302,bottle,bottle
"light,lead,manicure","lean,stand,sit",1930413,453584,chair,chair
"unplug,jump,hit","slide,photograph,sit",1942853,453584,chair,chair
"break,crush,rock","wipe,work,sit",1947531,453584,chair,chair
"forage,nip,sprout","adjust,sit,rinse",1948038,453584,chair,chair
"flex,protest,stir","sit,apply,lift",1948432,453584,chair,chair
"press,heave,soak","sit,lift,clean",2223445,453584,chair,chair
"race,ram,congregate","stretch,sit,sleep",572535,453584,bench,bench
"wheel,wash,fold","peel,pick,eat",1051276,45472,orange,orange
"clip,drive,poop","drink,lift,clean",683905,45472,cup,cup
"rehabilitate,rid,gamble","break,pick,drink",684810,45472,cup,cup
"unplug,perspire,bubble","drink,wash,clean",684903,45472,cup,cup
"boat,pot,repair","drink,walk,clean",684935,45472,cup,cup
"pay,scoop,plunge","spill,stand,drink",685083,45472,cup,cup
"confront,queue,overflow","break,drive,adjust",270041,460229,stop sign,stop_sign
"hug,buckle,arrest","ascend,walk,admire",397553,460229,truck,truck
"pilot,immerse,curl","wipe,yank,drive",402562,460229,traffic light,traffic_light
"jog,extinguish,shear","drive,race,check",407291,460229,traffic light,traffic_light
"paw,autograph,yawn","ask,drive,admire",1191608,464824,car,car
"subdue,slap,handcuff","turn,open,sit",1388324,464824,fire hydrant,fire_hydrant
"stand,release,spy","ask,help,lean",2161842,464824,person,person
"immerse,spread,till","call,sleep,carry",210511,469067,person,person
"inject,urinate,pot","turn,pick,lift",2136215,469067,remote,remote
"work,distribute,cough","stumble,walk,sleep",319289,469067,bed,bed
"moisten,sketch,light","turn,break,adjust",329572,469067,cell phone,cell_phone
"slither,unveil,mend","snuggle,admire,brush",49461,469067,cat,cat
"write,microwave,lean","bandage,cry,run",586443,471450,bear,bear
"hitchhike,scrap,wipe","photograph,run,admire",588013,471450,bear,bear
"poke,salute,unplug","run,adjust,admire",588031,471450,bear,bear
"snow,handcuff,swim","walk,pedal,sit",125429,473118,bicycle,bicycle
"serve,tug,restrain","cheer,photograph,applaud",200685,473118,person,person
"kneel,fasten,shave","work,jump,fall",639656,473118,skateboard,skateboard
"shrug,flick,inflate","recuperate,snuggle,sit",114818,473821,couch,couch
"drive,strap,ski","read,sit,admire",381674,473821,chair,chair
"browse,fetch,pout","arrange,vacuum,sit",385417,473821,chair,chair
"crown,star,smile","arrange,tilt,admire",712802,473821,bowl,bowl
"open,panhandle,descend","curl,snuggle,hug",1161167,474039,teddy bear,teddy_bear
"pray,farm,serve","pick,squeeze,hug",1162628,474039,teddy bear,teddy_bear
"stack,push,tattoo","spank,kiss,lift",466727,474039,person,person
"pucker,wait,plant","buckle,applaud,sit",183778,47571,person,person
"poop,rinse,lick","whistle,whip,adjust",202909,47571,person,person
"dial,plow,misbehave","call,walk,admire",54280,47571,horse,horse
"phone,seal,pry","cheer,talk,wave",1269043,47740,person,person
"pay,tear,eject","applaud,race,admire",1707009,47740,person,person
"release,socialize,study","call,communicate,hang",489230,47740,person,person
"squeeze,film,write","help,talk,admire",490497,47740,person,person
"film,stumble,rub","aim,run,examine",621404,47740,kite,kite
"carry,chop,waddle","walk,run,throw",623521,47740,kite,kite
"shiver,strike,detain","yank,walk,carry",1185808,47819,suitcase,suitcase
"draw,pitch,urinate","unpack,pack,carry",1443941,47819,suitcase,suitcase
"clench,punch,push","speak,walk,adjust",1727464,47819,person,person
"disembark,spoil,whisk","talk,stroke,walk",54378,47819,horse,horse
"fold,load,launch","call,attack,wave",1218260,488251,person,person
"handcuff,grieve,subdue","ask,aim,drive",1348356,488251,car,car
"poop,frown,emerge","drive,climb,clean",1349489,488251,car,car
"drop,crown,shell","sit,load,eat",1364929,488251,bus,bus
"interrogate,slip,autograph","photograph,speak,applaud",183598,488251,person,person
"film,spill,caress","photograph,pat,brush",57829,488251,horse,horse
"haul,throw,ask","swim,surf,admire",10122,490171,dog,dog
"hunt,soar,manicure","swim,train,talk",203146,490171,person,person
"bet,cheer,communicate","swim,stand,surf",647796,490171,surfboard,surfboard
"sneeze,ram,talk","arch,admire,fix",155826,491090,motorcycle,motorcycle
"bite,curl,stumble","buy,ask,drive",155859,491090,motorcycle,motorcycle
"stitch,push,dry","drive,race,repair",1790929,491090,motorcycle,motorcycle
"peel,perspire,swoop","wipe,sit,admire",1792471,491090,motorcycle,motorcycle
"stampede,decorate,misbehave","sell,race,sit",2047646,491090,motorcycle,motorcycle
"twist,disembark,laugh","photograph,talk,walk",220590,491090,person,person
"cling,educate,wring","ask,write,type",1117367,492905,keyboard,keyboard
"unload,giggle,pour","slide,work,press",1628719,492905,mouse,mouse
"educate,study,eject","ask,check,admire",32067,492905,tv,tv
"balloon,cram,prick","tune,wave,run",172226,492937,train,train
"spoil,emerge,rid","call,ask,bike",198827,492937,person,person
"fetch,jump,interview","ask,sit,admire",2168379,492937,bicycle,bicycle
"clear,dip,dust","turn,ask,type",1100951,497344,laptop,laptop
"wring,knock,kneel","fill,pick,clean",1484151,497344,bottle,bottle
"mourn,board,bet","call,ask,adjust",324057,497344,cell phone,cell_phone
"exercise,type,ski","snuggle,talk,smile",516513,497344,person,person
"pat,assemble,scoop","stand,sit,sleep",1813526,49810,bench,bench
"spy,dry,fasten","pat,feed,admire",52987,49810,cat,cat
"unload,fill,sneeze","arch,pick,pat",53064,49810,cat,cat
"smear,carry,perspire","turn,wash,clean",1131499,500464,sink,sink
"laugh,scoop,help","turn,pick,assemble",1675983,500464,hair drier,hair_drier
"skip,coach,sting","ail,pick,clean",1997942,500464,toothbrush,toothbrush
"peel,pout,pucker","write,rinse,clean",343009,500464,toothbrush,toothbrush
"prick,splash,whip","empty,pick,squeeze",82291,500464,bottle,bottle
"vacuum,parade,distract","drive,walk,run",1198913,501023,traffic light,traffic_light
"stampede,dial,carry","spy,check,admire",2060524,501023,stop sign,stop_sign
"whip,rake,mend","drive,walk,jog",270108,501023,stop sign,stop_sign
"haul,steer,duck","call,photograph,admire",589371,501243,zebra,zebra
"seal,grieve,wilt","photograph,feed,admire",590427,501243,zebra,zebra
"dive,jog,sit","photograph,walk,admire",591924,501243,zebra,zebra
"kneel,shelve,photograph","pour,rinse,throw",1491205,501368,bottle,bottle
"yank,grill,record","attack,open,wash",1491666,501368,bottle,bottle
"butt,work,launch","turn,adjust,clean",2197655,501368,hair drier,hair_drier
"work,photograph,catch","ask,dry,scrub",447307,501368,person,person
"fasten,prune,put","wipe,wash,rinse",1130658,501523,sink,sink
"prick,mend,soak","pick,shake,adjust",1865077,501523,bottle,bottle
"construct,mow,pray","whisk,shake,push",46767,501523,cat,cat
"slap,frown,photograph","aim,drink,pour",668384,501523,cup,cup
"wring,pee,arch","arrest,fill,knock",79571,501523,bottle,bottle
"ail,stumble,adjust","pinch,water,eat",1559974,50331,broccoli,broccoli
"photograph,flip,craft","pick,rinse,eat",1560842,50331,broccoli,broccoli
"release,put,yank","ask,water,trim",1605565,50331,potted plant,potted_plant
"check,fuel,paint","tip,water,salute",1608448,50331,potted plant,potted_plant
"pay,hoe,pitch","spy,hang,hug",1243067,512836,person,person
"buckle,boat,tattoo","talk,walk,brush",13802,512836,dog,dog
"spy,arrest,sprint","strap,open,carry",1436145,512836,handbag,handbag
"shake,hike,swim","pick,feed,admire",17235,512836,dog,dog
"sell,detain,dye","open,assemble,carry",1835295,512836,handbag,handbag
"gnaw,sit,imitate","call,talk,walk",214281,512836,person,person
"swing,grin,chase","open,carry,lift",282465,512836,umbrella,umbrella
"soak,unplug,rinse","call,ask,walk",1733508,518326,person,person
"soak,celebrate,kick","decorate,run,clean",1956690,518326,bed,bed
"lace,paint,queue","walk,sit,admire",318966,518326,bed,bed
"till,encourage,shelve","walk,sit,sleep",319515,518326,bed,bed
"unload,rub,restrain","ail,write,applaud",472775,518326,person,person
"attack,forage,plummet","ask,sit,admire",106022,519764,chair,chair
"pour,recover,ail","turn,work,study",2134493,519764,laptop,laptop
"kiss,wag,dance","talk,stroke,smile",51771,519764,cat,cat
"fix,examine,board","apprehend,bite,eat",1042596,521540,banana,banana
"kiss,lace,grind","sit,eat,clean",1618797,521540,dining table,dining_table
"exercise,flex,pot","wash,lick,clean",701815,521540,spoon,spoon
"rest,frisk,twist","cry,walk,admire",2069765,526103,elephant,elephant
"ski,mime,descend","ask,camp,film",283790,526103,umbrella,umbrella
"taste,lean,garden","ail,wave,admire",582406,526103,elephant,elephant
"shoot,shop,decorate","ask,bite,eat",1078884,526197,donut,donut
"offer,swim,queue","spit,ignore,eat",1079133,526197,donut,donut
"whip,mold,panhandle","buy,smell,eat",1572071,526197,donut,donut
"spin,tap,cram","buy,admire,bite",1573292,526197,donut,donut
"branch,soar,rehabilitate","unpack,throw,eat",2189220,526197,donut,donut
"make,spin,call","buy,adjust,eat",2189292,526197,donut,donut
"clench,imitate,spin","wait,wipe,lean",2227389,526197,dining table,dining_table
"bet,ask,apprehend","attack,adjust,carry",1110518,532761,remote,remote
"wheel,skid,buckle","ail,sit,admire",1586242,532761,chair,chair
"sleep,pack,bother","ascend,water,dust",1607637,532761,potted plant,potted_plant
"strike,barbecue,submerge","work,stroke,press",1629247,532761,mouse,mouse
"brawl,wilt,seal","turn,walk,sit",33929,532761,tv,tv
"shred,smile,shoot","sit,admire,clean",99358,532761,couch,couch
"protest,hang,strap","talk,applaud,balloon",424665,533493,person,person
"inflate,ascend,gasp","applaud,smile,laugh",444072,533493,person,person
"say,tap,embrace","ignore,ask,smile",460886,533493,person,person
"tackle,make,ail","sit,chase,throw",604214,533493,frisbee,frisbee
"hoist,pedal,glare","ascend,open,read",1650976,540280,book,book
"bathe,paste,unlock","pick,open,read",1986488,540280,book,book
"crawl,dock,crouch","break,adjust,brush",284291,540280,umbrella,umbrella
"tear,aim,punch","drive,wash,admire",135138,543043,car,car
"flick,panhandle,whirl","ask,photograph,drive",176445,543043,boat,boat
"hoist,pitch,frisk","drive,walk,wash",1775599,543043,car,car
"blossom,talk,arrange","sit,eat,clean",268071,543043,bus,bus
"scratch,fetch,yawn","ask,videotape,admire",1822824,545129,zebra,zebra
"swing,launch,buckle","adjust,feed,admire",592831,545129,zebra,zebra
"slide,ram,seal","ask,walk,brush",593943,545129,zebra,zebra
"pucker,stuff,draw","open,carry,lift",1416194,54592,backpack,backpack
"confront,write,sew","ski,admire,put",1450582,54592,skis,skis
"wait,help,swarm","ski,talk,walk",434302,54592,person,person
"wipe,run,sniff","call,communicate,admire",445492,54592,person,person
"tear,bake,mow","crash,race,hike",613127,54592,skis,skis
"drum,sew,apply","turn,ask,communicate",1102099,546717,laptop,laptop
"videotape,waddle,poke","tap,attack,balloon",1107213,546717,mouse,mouse
"grieve,massage,trim","drink,pour,clean",2098455,546717,cup,cup
"sit,study,soar","bother,walk,carry",210611,546717,person,person
"erase,cheer,flick","autograph,water,admire",291632,546717,potted plant,potted_plant
"apprehend,row,shell","snuggle,adjust,sit",97783,546717,couch,couch
"drool,attach,squint","arrest,call,arrange",15976,547502,dog,dog
"embrace,empty,ski","train,walk,run",17832,547502,dog,dog
"drool,frisk,parachute","pick,stroke,run",18297,547502,dog,dog
"lift,sneeze,tap","pick,fling,throw",604085,547502,frisbee,frisbee
"adjust,crush,say","talk,run,throw",8214,547502,dog,dog
"build,strip,spill","walk,wash,load",1369608,550084,truck,truck
"grind,put,eat","drive,operate,wash",2052213,550084,truck,truck
"sprout,sign,staple","work,climb,operate",398584,550084,truck,truck
"steer,salute,craft","wipe,attack,work",1157541,550322,scissors,scissors
"retrieve,cheer,poke","pick,work,put",1157722,550322,scissors,scissors
"arrest,arch,hit","empty,arrange,clean",1504353,550322,cup,cup
"shave,sweep,curtsy","stir,cook,wash",1527763,550322,spoon,spoon
"suck,fetch,sign","adjust,assemble,clean",1965535,550322,dining table,dining_table
"photograph,recuperate,crest","stir,ask,cook",2185071,550322,spoon,spoon
"handcuff,admire,whirl","yawn,strip,sleep",318264,551815,bed,bed
"instruct,confront,dissect","rub,nuzzle,admire",49017,551815,cat,cat
"sneeze,spread,bake","caress,snuggle,stroke",49171,551815,cat,cat
"camouflage,strip,hang","cheer,admire,throw",1706760,554328,person,person
"plow,work,stretch","run,catch,throw",304526,554328,sports ball,sports_ball
"cheerlead,practice,peel","cheer,write,applaud",484807,554328,person,person
"crouch,perform,arrange","wave,walk,admire",503207,554328,person,person
"emerge,wet,lock","wipe,catch,put",633522,554328,baseball glove,baseball_glove
"say,dance,extinguish","dust,catch,carry",635374,554328,baseball glove,baseball_glove
"subdue,count,laugh","drink,shake,pour",1867939,554838,bottle,bottle
"disembark,construct,throw","drink,arrange,pour",2213395,554838,bottle,bottle
"taste,crest,gather","wipe,open,clean",332167,554838,refrigerator,refrigerator
"cheerlead,wipe,discuss","ask,aim,apply",1108433,559543,remote,remote
"uncork,decorate,shovel","sit,sleep,rest",114513,559543,couch,couch
"slouch,plow,peel","guard,stretch,sit",1580399,559543,chair,chair
"spoil,weep,parade","ask,adjust,admire",1670040,559543,vase,vase
"drink,swarm,shop","arrest,talk,hug",217787,559543,person,person
"dip,water,mash","ask,photograph,balloon",1226213,559547,person,person
"lift,pee,clench","put,repair,throw",1470456,559547,baseball glove,baseball_glove
"whistle,pay,celebrate","catch,admire,throw",304701,559547,sports ball,sports_ball
"sleep,ignore,baptize","cheer,arrest,chase",477978,559547,person,person
"attach,pull,insert","shush,read,admire",558342,559547,person,person
"tip,walk,fish","pick,swing,lift",630703,559547,baseball bat,baseball_bat
"dock,grimace,bathe","bite,throw,eat",1057749,559707,broccoli,broccoli
"hit,carve,urinate","pick,wash,eat",1057814,559707,broccoli,broccoli
"pour,eject,destroy","throw,eat,clean",1058088,559707,broccoli,broccoli
"swing,sting,bother","chew,throw,eat",1059509,559707,broccoli,broccoli
"crash,sprint,mine","bite,carry,eat",685829,559707,fork,fork
"bake,gather,wheel","turn,buy,put",1188281,569976,hair drier,hair_drier
"reassure,spread,wring","weigh,apply,wash",1239516,569976,person,person
"farm,flip,complain","lean,stand,sit",1580748,569976,chair,chair
"rake,pounce,trip","ask,aim,sit",1582191,569976,chair,chair
"clip,buckle,officiate","wrinkle,adjust,sit",2123111,569976,chair,chair
"pout,paw,sniff","call,talk,communicate",433720,569976,person,person
"bother,pack,complain","ask,talk,laugh",437179,569976,person,person
"parade,recuperate,submerge","sit,rest,pull",101423,57238,chair,chair
"weigh,tackle,blossom","attach,sit,pull",107320,57238,chair,chair
"bow,gnaw,sweep","clear,work,adjust",118911,57238,dining table,dining_table
"peel,weigh,flip","arrest,open,clean",332209,57238,refrigerator,refrigerator
"carry,boat,curl","unpack,bake,unload",2175752,579307,backpack,backpack
"attach,craft,dry","ascend,help,wave",451044,579307,person,person
"whirl,march,pounce","ask,talk,applaud",500864,579307,person,person
"drive,peel,intermingle","fold,chase,assemble",621866,579307,kite,kite
"phone,butter,stoop","ask,walk,run",624891,579307,kite,kite
"braid,paint,whirl","board,walk,admire",173392,58384,train,train
"frisk,break,smash","feed,admire,clean",582150,58384,elephant,elephant
"lather,train,socialize","walk,feed,admire",583936,58384,elephant,elephant
"exterminate,browse,shiver","call,walk,admire",584606,58384,elephant,elephant
"frown,trip,float","pick,arrange,bite",1047621,60855,apple,apple
"unpack,spill,rake","peel,slice,squeeze",1051686,60855,orange,orange
"cling,bow,train","peel,wash,bite",1053129,60855,orange,orange
"nag,read,dial","peel,slice,eat",1053180,60855,orange,orange
"drip,soar,tickle","peel,rinse,eat",1053846,60855,orange,orange
"giggle,give,film","wash,brush,eat",1548656,60855,apple,apple
"slide,shush,lecture","peel,throw,eat",1556339,60855,orange,orange
"descend,lift,milk","complain,drive,walk",1385164,61268,traffic light,traffic_light
"nuzzle,uncork,steer","break,walk,clean",1386651,61268,traffic light,traffic_light
"chew,rehabilitate,taxi","wait,frown,drive",1386917,61268,traffic light,traffic_light
"skip,throw,sneeze","apprehend,arch,catch",172716,61268,train,train
"barbecue,scold,sniff","fish,open,carry",1834720,61268,handbag,handbag
"vacuum,lap,videotape","walk,run,balloon",205534,61268,person,person
"swarm,bathe,spread","wait,peel,sit",2058521,61268,traffic light,traffic_light
"bulldoze,mow,arch","strike,aim,run",304102,65736,sports ball,sports_ball
"work,buy,decorate","serve,talk,compete",428508,65736,person,person
"light,eat,fuel","arch,aim,practice",656566,65736,tennis racket,tennis_racket
"call,fish,board","arch,applaud,clean",1128597,66841,toaster,toaster
"salute,suck,restrain","open,pour,eat",1870847,66841,bottle,bottle
"duck,speak,strip","wipe,wash,clean",1894884,66841,spoon,spoon
"dye,star,whisk","stir,adjust,eat",704211,66841,spoon,spoon
"hurl,grill,vault","display,check,eat",708199,66841,spoon,spoon
"complain,encourage,ask","stir,bake,clean",708912,66841,spoon,spoon
"grimace,fry,complain","arrest,pick,scoop",709000,66841,spoon,spoon
"mop,attack,swoop","ask,drive,sit",137446,68093,car,car
"phone,waddle,kiss","stand,sit,wash",153661,68093,motorcycle,motorcycle
"pucker,burn,ignore","drive,arrange,sit",153858,68093,motorcycle,motorcycle
"drum,bake,gather","drive,talk,hang",215913,68093,person,person
"rot,frown,peel","dance,jog,adjust",218394,68093,person,person
"moisturize,attack,help","distract,admire,throw",1728634,68387,person,person
"weigh,queue,kneel","wipe,adjust,catch",1858539,68387,baseball glove,baseball_glove
"hitchhike,strap,spear","applaud,wave,admire",500413,68387,person,person
"drive,march,crush","call,applaud,admire",501912,68387,person,person
"reassure,boat,whistle","call,ask,walk",520057,68387,person,person
"autograph,twirl,haul","ask,swing,adjust",627361,68387,baseball bat,baseball_bat
"drench,attach,microwave","swoop,stand,catch",634662,68387,baseball glove,baseball_glove
"apply,shell,turn","ask,pat,admire",592039,70158,zebra,zebra
"swoop,bury,wad","communicate,walk,feed",592091,70158,zebra,zebra
"suck,fuel,chase","walk,pat,admire",592347,70158,zebra,zebra
"shovel,till,slap","turn,plow,read",1138892,71226,book,book
"fuel,sting,sprinkle","pick,open,read",1147615,71226,book,book
"fetch,spear,lather","smile,pat,feed",15080,71226,dog,dog
"carve,fry,wag","adjust,sleep,clean",1956584,71226,bed,bed
"strip,wilt,shear","pat,feed,brush",273554,71226,cat,cat
"hike,till,videotape","bathe,call,ask",3482,71226,dog,dog
"parade,erase,strap","cook,eat,clean",1518875,75393,fork,fork
"ram,protest,erupt","photograph,admire,eat",1520372,75393,fork,fork
"rub,dry,hitchhike","ask,admire,clean",1520494,75393,fork,fork
"crawl,spin,clench","ask,admire,eat",1520571,75393,fork,fork
"dive,put,extinguish","aim,smile,nuzzle",1159354,776,teddy bear,teddy_bear
"intermingle,beg,tip","pick,adjust,hug",1161486,776,teddy bear,teddy_bear
"type,unveil,kneel","arrest,snuggle,pick",1161607,776,teddy bear,teddy_bear
"wad,sell,drop","curl,stretch,unload",1611634,776,bed,bed
"pitch,sprinkle,lead","ask,walk,sit",1730251,78404,person,person
"pry,smash,pump","pick,pee,rest",1834788,78404,handbag,handbag
"pull,wax,sprinkle","ask,admire,carry",1835149,78404,handbag,handbag
"arrange,fish,burn","tackle,talk,spray",425247,78404,person,person
"dial,spin,bounce","ask,attack,snuggle",555025,78404,person,person
"row,extinguish,cry","stand,walk,sit",573455,78404,bench,bench
"cover,skip,vault","whistle,call,walk",217097,79229,person,person
"draw,bubble,parade","call,tickle,feed",4941,79229,dog,dog
"cough,fuel,bow","wrap,applaud,yawn",56077,79229,horse,horse
"heave,land,taste","ski,fall,balloon",1452391,80153,skis,skis
"empty,yank,dissect","applaud,hang,admire",195510,80153,person,person
"clap,exterminate,unload","talk,pat,brush",8177,80153,dog,dog
"bubble,flame,ski","serve,slice,eat",1083877,81738,cake,cake
"circle,milk,squeeze","bake,admire,eat",184545,81738,person,person
"write,confront,smile","wipe,eat,clean",1963570,81738,dining table,dining_table
"turn,microwave,skip","chop,wipe,clean",693161,81738,knife,knife
"board,sketch,tackle","wipe,drink,pour",89049,81738,bottle,bottle
"push,curtsy,arrange","pick,walk,hug",1161515,82180,teddy bear,teddy_bear
"arrange,plow,erupt","pick,hang,adjust",1673320,82180,teddy bear,teddy_bear
"open,lap,mop","stand,sit,rinse",373879,82180,chair,chair
"plunge,wax,photograph","arrest,aim,adjust",1388498,82846,stop sign,stop_sign
"sneeze,celebrate,strap","call,jump,admire",167589,82846,bus,bus
"protest,rain,unload","drive,walk,jog",269838,82846,stop sign,stop_sign
"lift,repair,fry","pick,kick,throw",1462197,85772,sports ball,sports_ball
"rid,trip,rain","swing,hit,throw",306407,85772,sports ball,sports_ball
"clear,tap,teach","cheer,clap,applaud",429906,85772,person,person
"fall,talk,confront","swing,hit,throw",659222,85772,tennis racket,tennis_racket
"retrieve,lick,clear","ask,pick,push",1106733,9483,mouse,mouse
"milk,mold,glue","type,sit,clean",1115956,9483,keyboard,keyboard
"flip,drop,rub","work,adjust,attach",2134249,9483,tv,tv
"open,cling,make","arrange,check,assemble",2134257,9483,tv,tv
"spank,sell,provide","ask,talk,applaud",219454,9483,person,person
"apprehend,land,subdue","wipe,cart,clean",31409,9483,tv,tv
"yank,baptize,sign","pick,paint,admire",1151954,95786,vase,vase
"buckle,grind,sting","arrange,destroy,throw",1994414,95786,vase,vase
"spill,erupt,tip","break,drink,admire",671185,95786,cup,cup
"swarm,serve,intermingle","stir,break,throw",676406,95786,cup,cup
"drum,spear,submerge","flip,pick,read",1137334,96001,book,book
"rock,spoil,signal","admire,rinse,clean",2185636,96001,bowl,bowl
"hitchhike,hunch,lift","arrange,carry,clean",280449,96001,umbrella,umbrella
"arrest,check,waddle","cook,open,adjust",1120140,97022,microwave,microwave
"arrange,hitchhike,clip","ask,cook,clean",1128510,97022,toaster,toaster
"fold,drench,give","wipe,wash,clean",1134299,97022,sink,sink
"wag,pay,vault","tune,cook,arrange",1626017,97022,tv,tv
"dry,nip,storm","wipe,bake,clean",1641519,97022,oven,oven
"mold,crawl,burn","bake,cook,clean",2139402,97022,oven,oven
